UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA
MG,31,33501,Itapecerica,21.760
MG,31,33600,Itapeva,9.976
MG,31,33709,Itatiaiuçu,11.354
MG,31,33758,Itaú de Minas,16.286
MG,31,33808,Itaúna,94.455
MG,31,33907,Itaverava,5.321
MG,31,34004,Itinga,15.053
MG,31,34103,Itueta,6.074
MG,31,34202,Ituiutaba,105.818
MG,31,34301,Itumirim,5.978
MG,31,34400,Iturama,40.101
MG,31,34509,Itutinga,3.749
MG,31,34608,Jaboticatubas,20.683
MG,31,34707,Jacinto,12.320
MG,31,34806,Jacuí,7.695
MG,31,34905,Jacutinga,26.538
MG,31,35001,Jaguaraçu,3.151
MG,31,35050,Jaíba,39.850
MG,31,35076,Jampruca,5.453
MG,31,35100,Janaúba,72.374
MG,31,35209,Januária,67.958
MG,31,35308,Japaraíba,4.418
MG,31,35357,Japonvar,7.991
MG,31,35407,Jeceaba,4.795
MG,31,35456,Jenipapo de Minas,7.781
MG,31,35506,Jequeri,12.246
MG,31,35605,Jequitaí,7.407
MG,31,35704,Jequitibá,5.203
MG,31,35803,Jequitinhonha,25.555
MG,31,35902,Jesuânia,4.774
MG,31,36009,Joaíma,15.476
MG,31,36108,Joanésia,4.382
MG,31,36207,João Monlevade,80.903
MG,31,36306,João Pinheiro,47.990
MG,31,36405,Joaquim Felício,4.757
MG,31,36504,Jordânia,10.872
MG,31,36520,José Gonçalves de Minas,4.474
MG,31,36553,José Raydan,5.104
MG,31,36579,Josenópolis,4.911
MG,31,36603,Nova União,5.739
MG,31,36652,Juatuba,27.823
MG,31,36702,Juiz de Fora,577.532
MG,31,36801,Juramento,4.359
MG,31,36900,Juruaia,10.795
MG,31,36959,Juvenília,5.706
MG,31,37007,Ladainha,18.272
MG,31,37106,Lagamar,7.588
MG,31,37205,Lagoa da Prata,53.236
MG,31,37304,Lagoa dos Patos,4.062
MG,31,37403,Lagoa Dourada,13.115
MG,31,37502,Lagoa Formosa,18.168
MG,31,37536,Lagoa Grande,9.681
MG,31,37601,Lagoa Santa,66.744
MG,31,37700,Lajinha,19.914
MG,31,37809,Lambari,20.995
MG,31,37908,Lamim,3.366
MG,31,38005,Laranjal,6.856
MG,31,38104,Lassance,6.494
MG,31,38203,Lavras,105.756
MG,31,38302,Leandro Ferreira,3.222
MG,31,38351,Leme do Prado,4.923
MG,31,38401,Leopoldina,52.690
MG,31,38500,Liberdade,4.994
MG,31,38609,Lima Duarte,16.749
MG,31,38625,Limeira do Oeste,7.640
MG,31,38658,Lontra,9.766
MG,31,38674,Luisburgo,6.249
MG,31,38682,Luislândia,6.735
MG,31,38708,Luminárias,5.431
MG,31,38807,Luz,18.297
MG,31,38906,Machacalis,7.112
MG,31,39003,Machado,42.682
MG,31,39102,Madre de Deus de Minas,5.119
MG,31,39201,Malacacheta,18.556
MG,31,39250,Mamonas,6.565
MG,31,39300,Manga,18.051
MG,31,39409,Manhuaçu,92.074
MG,31,39508,Manhumirim,22.894
MG,31,39607,Mantena,27.651
MG,31,39706,Maravilhas,8.113
MG,31,39805,Mar de Espanha,12.985
MG,31,39904,Maria da Fé,14.019
MG,31,40001,Mariana,61.830
MG,31,40100,Marilac,4.079
MG,31,40159,Mário Campos,15.814
MG,31,40209,Maripá de Minas,3.000
MG,31,40308,Marliéria,4.030
MG,31,40407,Marmelópolis,2.701
MG,31,40506,Martinho Campos,13.497
MG,31,40530,Martins Soares,8.640
MG,31,40555,Mata Verde,8.700
MG,31,40605,Materlândia,4.415
MG,31,40704,Mateus Leme,31.631
MG,31,40803,Matias Barbosa,14.626
MG,31,40852,Matias Cardoso,11.360
MG,31,40902,Matipó,19.098
MG,31,41009,Mato Verde,12.367
MG,31,41108,Matozinhos,38.469
MG,31,41207,Matutina,3.733
MG,31,41306,Medeiros,3.861
MG,31,41405,Medina,20.701
MG,31,41504,Mendes Pimentel,6.446
MG,31,41603,Mercês,10.775
MG,31,41702,Mesquita,5.489
MG,31,41801,Minas Novas,31.509
MG,31,41900,Minduri,3.891
MG,31,42007,Mirabela,13.651
MG,31,42106,Miradouro,10.818
MG,31,42205,Miraí,15.205
MG,31,42254,Miravânia,4.939
MG,31,42304,Moeda,4.948
MG,31,42403,Moema,7.589
MG,31,42502,Monjolos,2.184
MG,31,42601,Monsenhor Paulo,8.764
MG,31,42700,Montalvânia,14.621
MG,31,42809,Monte Alegre de Minas,21.349
MG,31,42908,Monte Azul,20.544
MG,31,43005,Monte Belo,13.139
MG,31,43104,Monte Carmelo,48.049
MG,31,43153,Monte Formoso,4.939
MG,31,43203,Monte Santo de Minas,21.504
MG,31,43302,Montes Claros,417.478
MG,31,43401,Monte Sião,24.247
MG,31,43450,Montezuma,8.379
MG,31,43500,Morada Nova de Minas,8.955
MG,31,43609,Morro da Garça,2.413
MG,31,43708,Morro do Pilar,3.126
MG,31,43807,Munhoz,5.960
MG,31,43906,Muriaé,109.997
MG,31,44003,Mutum,26.945
MG,31,44102,Muzambinho,20.522
MG,31,44201,Nacip Raydan,3.221
MG,31,44300,Nanuque,40.583
MG,31,44359,Naque,7.104
MG,31,44375,Natalândia,3.306
MG,31,44409,Natércia,4.727
MG,31,44508,Nazareno,8.710
MG,31,44607,Nepomuceno,26.882
MG,31,44656,Ninheira,10.355
MG,31,44672,Nova Belém,3.067
MG,31,44706,Nova Era,17.524
MG,31,44805,Nova Lima,97.378
MG,31,44904,Nova Módica,3.548
MG,31,45000,Nova Ponte,16.046
MG,31,45059,Nova Porteirinha,7.493
MG,31,45109,Nova Resende,16.937
MG,31,45208,Nova Serrana,108.241
MG,31,45307,Novo Cruzeiro,31.339
MG,31,45356,Novo Oriente de Minas,10.800
MG,31,45372,Novorizonte,5.348
MG,31,45406,Olaria,1.694
MG,31,45455,Olhos-d'Água,6.243
MG,31,45505,Olímpio Noronha,2.829
MG,31,45604,Oliveira,41.987
MG,31,45703,Oliveira Fortes,2.128
MG,31,45802,Onça de Pitangui,3.155
MG,31,45851,Oratórios,4.671
MG,31,45877,Orizânia,8.138
MG,31,45901,Ouro Branco,40.220
MG,31,46008,Ouro Fino,33.938
MG,31,46107,Ouro Preto,74.824
MG,31,46206,Ouro Verde de Minas,5.895
MG,31,46255,Padre Carvalho,6.466
MG,31,46305,Padre Paraíso,20.346
MG,31,46404,Paineiras,4.440
MG,31,46503,Pains,8.308
MG,31,46552,Pai Pedro,6.098
MG,31,46602,Paiva,1.517
MG,31,46701,Palma,6.606
MG,31,46750,Palmópolis,5.196
MG,31,46909,Papagaios,15.922
MG,31,47006,Paracatu,94.539
MG,31,47105,Pará de Minas,95.616
MG,31,47204,Paraguaçu,21.693
MG,31,47303,Paraisópolis,21.353
MG,31,47402,Paraopeba,24.854
MG,31,47501,Passabém,1.619
MG,31,47600,Passa Quatro,16.439
MG,31,47709,Passa Tempo,8.031
MG,31,47808,Passa Vinte,2.024
MG,31,47907,Passos,115.970
MG,31,47956,Patis,6.031
MG,31,48004,Patos de Minas,154.641
MG,31,48103,Patrocínio,92.116
MG,31,48202,Patrocínio do Muriaé,5.744
MG,31,48301,Paula Cândido,9.597
MG,31,48400,Paulistas,4.794
MG,31,48509,Pavão,8.390
MG,31,48608,Peçanha,17.534
